latitude,longitude
-216,-431
158,304
431,-90
89,281
365,330
499,-283
42,-28
95,-351
-199,124
-294,-324
263,373
155,-34
-424,300
-213,47
150,-76
-399,-330
-319,111
340,-85
232,220
-390,150
-201,324
96,410
361,432
168,271
-372,299
-230,294
-170,-450
280,-320
-333,56
136,-106
231,-283
453,-437
67,82
478,185
-237,-495
-278,-189
401,-125
-164,84
-18,296
-219,-213
444,489
-292,292
208,108
-30,128
316,-430
99,231
46,-460
193,271
-416,-341
106,-100
-223,-322
14,-345
166,-263
427,-277
-442,97
494,-211
136,295
465,-317
-328,363
-459,-391
-210,408
-70,340
297,-367
-190,-154
-448,-413
112,-476
-484,253
438,319
-419,399
213,-217
-451,461
150,357
167,113
425,-109
400,-396
-472,-202
273,-120
-361,-1
438,476
464,241
-183,200
-30,230
-406,-350
87,494
-462,-332
478,-212
172,-32
-286,433
-454,277
-223,-92
476,-482
-413,-325
-92,-253
424,194
-251,-227
447,-205
-140,-319
240,181
130,-261
218,-3
