latitude,longitude
10,242
-339,135
463,109
251,327
25,-18
-353,106
-385,268
-426,-62
322,403
-328,-430
-44,-465
232,348
86,-434
364,-104
191,-278
281,-178
172,-132
-396,-188
478,384
-325,345
-454,-249
-146,260
74,-18
-279,-416
-124,-393
-98,351
-247,248
-47,-383
-189,-282
392,-450
159,204
467,190
-232,293
-254,-482
-470,-441
-101,-476
266,-49
345,213
469,430
-420,-38
106,229
73,177
-331,-423
-426,-72
-45,-63
-396,150
-191,-338
-392,27
131,456
34,385
-6,168
118,256
-360,296
-284,330
457,-9
-90,-379
-233,-482
429,-437
428,-108
172,-322
-234,-174
225,127
352,258
-186,-246
464,426
-419,-352
-119,-107
398,-110
-191,-14
-282,-95
318,-210
113,-254
-314,274
184,-278
425,87
-431,19
-469,299
88,337
-200,-329
379,119
-448,54
-412,-354
219,143
-250,134
-380,178
488,-39
-374,71
-376,357
105,128
65,174
-278,-218
47,-124
230,-315
-499,481
280,116
-211,27
-264,-112
-492,53
-334,-139
456,-303
-90,-289
26,299
198,-173
-447,-232
262,85
108,-383
297,-235
280,217
437,78
348,-213
-412,-412
-5,-367
122,335
470,370
392,-401
-361,188
31,79
-64,-198
265,-317
-433,305
245,304
-301,43
-463,-320
-451,-425
476,-70
442,-67
3,374
-83,-333
46,66
-59,-337
191,-169
97,256
-371,-344
400,-11
-86,27
29,249
73,137
-129,92
-8,-27
186,-181
-175,-97
140,227
343,-198
208,18
-205,-314
-346,-444
-138,-479
372,-9
-324,169
409,-187
-226,382
388,55
41,418
-153,-324
363,82
273,170
-234,-32
192,30
276,254
272,-430
-428,-361
-229,468
-175,-56
73,-433
-259,419
249,-286
-55,45
-188,-195
311,-8
-168,-158
-246,-119
-407,477
291,-248
-148,437
-117,411
-483,282
-293,371
303,97
-5,-253
460,139
-474,258
232,-78
187,-37
85,-80
-249,-493
60,-119
174,374
-164,-266
253,140
232,200
462,-235
-120,-479
129,-261
-222,168
-95,272
260,-17
-362,-188
-329,6
351,-138
